Year,Geography,data.Offences,data.Age of accused,data.Sex of accused,Value
2016/2017,Manitoba,data.Total Criminal Code,45 to 54 years,data.Total - sex of accused,147.0
2017/2018,Manitoba,data.Total Criminal Code,45 to 54 years,data.Total - sex of accused,134.0
2018/2019,Manitoba,data.Total Criminal Code,45 to 54 years,data.Total - sex of accused,134.0
2014/2015,Manitoba,data.Total Criminal Code,45 to 54 years,Males,
2015/2016,Manitoba,data.Total Criminal Code,45 to 54 years,Males,
2016/2017,Manitoba,data.Total Criminal Code,45 to 54 years,Males,
2017/2018,Manitoba,data.Total Criminal Code,45 to 54 years,Males,
2018/2019,Manitoba,data.Total Criminal Code,45 to 54 years,Males,
2014/2015,Manitoba,data.Total Criminal Code,45 to 54 years,Females,
2015/2016,Manitoba,data.Total Criminal Code,45 to 54 years,Females,
2016/2017,Manitoba,data.Total Criminal Code,45 to 54 years,Females,
2017/2018,Manitoba,data.Total Criminal Code,45 to 54 years,Females,
2018/2019,Manitoba,data.Total Criminal Code,45 to 54 years,Females,
2014/2015,Manitoba,data.Total Criminal Code,45 to 54 years,data.Sex unknown,144.0
2015/2016,Manitoba,data.Total Criminal Code,45 to 54 years,data.Sex unknown,134.0
2016/2017,Manitoba,data.Total Criminal Code,45 to 54 years,data.Sex unknown,147.0
2017/2018,Manitoba,data.Total Criminal Code,45 to 54 years,data.Sex unknown,134.0
2018/2019,Manitoba,data.Total Criminal Code,45 to 54 years,data.Sex unknown,134.0
2014/2015,Manitoba,data.Total Criminal Code,55 years and over,data.Total - sex of accused,136.0
2015/2016,Manitoba,data.Total Criminal Code,55 years and over,data.Total - sex of accused,157.0
2016/2017,Manitoba,data.Total Criminal Code,55 years and over,data.Total - sex of accused,155.0
2017/2018,Manitoba,data.Total Criminal Code,55 years and over,data.Total - sex of accused,156.0
2018/2019,Manitoba,data.Total Criminal Code,55 years and over,data.Total - sex of accused,127.0
2014/2015,Manitoba,data.Total Criminal Code,55 years and over,Males,
2015/2016,Manitoba,data.Total Criminal Code,55 years and over,Males,
2016/2017,Manitoba,data.Total Criminal Code,55 years and over,Males,
2017/2018,Manitoba,data.Total Criminal Code,55 years and over,Males,
2018/2019,Manitoba,data.Total Criminal Code,55 years and over,Males,
2014/2015,Manitoba,data.Total Criminal Code,55 years and over,Females,
2015/2016,Manitoba,data.Total Criminal Code,55 years and over,Females,
2016/2017,Manitoba,data.Total Criminal Code,55 years and over,Females,
2017/2018,Manitoba,data.Total Criminal Code,55 years and over,Females,
2018/2019,Manitoba,data.Total Criminal Code,55 years and over,Females,
2014/2015,Manitoba,data.Total Criminal Code,55 years and over,data.Sex unknown,136.0
2015/2016,Manitoba,data.Total Criminal Code,55 years and over,data.Sex unknown,157.0
2016/2017,Manitoba,data.Total Criminal Code,55 years and over,data.Sex unknown,155.0
2017/2018,Manitoba,data.Total Criminal Code,55 years and over,data.Sex unknown,156.0
2018/2019,Manitoba,data.Total Criminal Code,55 years and over,data.Sex unknown,127.0
2014/2015,Manitoba,data.Crimes against the person,data.Total - age of accused,data.Total - sex of accused,210.0
2015/2016,Manitoba,data.Crimes against the person,data.Total - age of accused,data.Total - sex of accused,204.0
2016/2017,Manitoba,data.Crimes against the person,data.Total - age of accused,data.Total - sex of accused,190.0
2017/2018,Manitoba,data.Crimes against the person,data.Total - age of accused,data.Total - sex of accused,185.0
2018/2019,Manitoba,data.Crimes against the person,data.Total - age of accused,data.Total - sex of accused,177.0
2014/2015,Manitoba,data.Crimes against the person,data.Total - age of accused,Males,
2015/2016,Manitoba,data.Crimes against the person,data.Total - age of accused,Males,
2016/2017,Manitoba,data.Crimes against the person,data.Total - age of accused,Males,
2017/2018,Manitoba,data.Crimes against the person,data.Total - age of accused,Males,
2018/2019,Manitoba,data.Crimes against the person,data.Total - age of accused,Males,
2014/2015,Manitoba,data.Crimes against the person,data.Total - age of accused,Females,
2015/2016,Manitoba,data.Crimes against the person,data.Total - age of accused,Females,
2016/2017,Manitoba,data.Crimes against the person,data.Total - age of accused,Females,
2017/2018,Manitoba,data.Crimes against the person,data.Total - age of accused,Females,
2018/2019,Manitoba,data.Crimes against the person,data.Total - age of accused,Females,
2014/2015,Manitoba,data.Crimes against the person,data.Total - age of accused,data.Company,0.0
2015/2016,Manitoba,data.Crimes against the person,data.Total - age of accused,data.Company,0.0
2016/2017,Manitoba,data.Crimes against the person,data.Total - age of accused,data.Company,0.0
2017/2018,Manitoba,data.Crimes against the person,data.Total - age of accused,data.Company,0.0
2018/2019,Manitoba,data.Crimes against the person,data.Total - age of accused,data.Company,0.0
2014/2015,Manitoba,data.Crimes against the person,data.Total - age of accused,data.Sex unknown,210.0
2015/2016,Manitoba,data.Crimes against the person,data.Total - age of accused,data.Sex unknown,204.0
2016/2017,Manitoba,data.Crimes against the person,data.Total - age of accused,data.Sex unknown,190.0
2017/2018,Manitoba,data.Crimes against the person,data.Total - age of accused,data.Sex unknown,185.0
2018/2019,Manitoba,data.Crimes against the person,data.Total - age of accused,data.Sex unknown,177.0
2014/2015,Manitoba,data.Crimes against the person,data.18 to 24 years,data.Total - sex of accused,234.0
2015/2016,Manitoba,data.Crimes against the person,data.18 to 24 years,data.Total - sex of accused,225.0
2016/2017,Manitoba,data.Crimes against the person,data.18 to 24 years,data.Total - sex of accused,204.0
2017/2018,Manitoba,data.Crimes against the person,data.18 to 24 years,data.Total - sex of accused,211.0
2018/2019,Manitoba,data.Crimes against the person,data.18 to 24 years,data.Total - sex of accused,197.0
2014/2015,Manitoba,data.Crimes against the person,data.18 to 24 years,Males,
2015/2016,Manitoba,data.Crimes against the person,data.18 to 24 years,Males,
2016/2017,Manitoba,data.Crimes against the person,data.18 to 24 years,Males,
2017/2018,Manitoba,data.Crimes against the person,data.18 to 24 years,Males,
2018/2019,Manitoba,data.Crimes against the person,data.18 to 24 years,Males,
2014/2015,Manitoba,data.Crimes against the person,data.18 to 24 years,Females,
2015/2016,Manitoba,data.Crimes against the person,data.18 to 24 years,Females,
2016/2017,Manitoba,data.Crimes against the person,data.18 to 24 years,Females,
2017/2018,Manitoba,data.Crimes against the person,data.18 to 24 years,Females,
2018/2019,Manitoba,data.Crimes against the person,data.18 to 24 years,Females,
2014/2015,Manitoba,data.Crimes against the person,data.18 to 24 years,data.Sex unknown,234.0
2015/2016,Manitoba,data.Crimes against the person,data.18 to 24 years,data.Sex unknown,225.0
2016/2017,Manitoba,data.Crimes against the person,data.18 to 24 years,data.Sex unknown,204.0
2017/2018,Manitoba,data.Crimes against the person,data.18 to 24 years,data.Sex unknown,211.0
2018/2019,Manitoba,data.Crimes against the person,data.18 to 24 years,data.Sex unknown,197.0
2014/2015,Manitoba,data.Crimes against the person,25 to 34 years,data.Total - sex of accused,199.0
2015/2016,Manitoba,data.Crimes against the person,25 to 34 years,data.Total - sex of accused,201.0
2016/2017,Manitoba,data.Crimes against the person,25 to 34 years,data.Total - sex of accused,176.0
2017/2018,Manitoba,data.Crimes against the person,25 to 34 years,data.Total - sex of accused,177.0
2018/2019,Manitoba,data.Crimes against the person,25 to 34 years,data.Total - sex of accused,175.0
2014/2015,Manitoba,data.Crimes against the person,25 to 34 years,Males,
2015/2016,Manitoba,data.Crimes against the person,25 to 34 years,Males,
2016/2017,Manitoba,data.Crimes against the person,25 to 34 years,Males,
2017/2018,Manitoba,data.Crimes against the person,25 to 34 years,Males,
2018/2019,Manitoba,data.Crimes against the person,25 to 34 years,Males,
2014/2015,Manitoba,data.Crimes against the person,25 to 34 years,Females,
2015/2016,Manitoba,data.Crimes against the person,25 to 34 years,Females,
2016/2017,Manitoba,data.Crimes against the person,25 to 34 years,Females,
2017/2018,Manitoba,data.Crimes against the person,25 to 34 years,Females,
2018/2019,Manitoba,data.Crimes against the person,25 to 34 years,Females,
2014/2015,Manitoba,data.Crimes against the person,25 to 34 years,data.Sex unknown,199.0
2015/2016,Manitoba,data.Crimes against the person,25 to 34 years,data.Sex unknown,201.0
2016/2017,Manitoba,data.Crimes against the person,25 to 34 years,data.Sex unknown,176.0
2017/2018,Manitoba,data.Crimes against the person,25 to 34 years,data.Sex unknown,177.0
2018/2019,Manitoba,data.Crimes against the person,25 to 34 years,data.Sex unknown,175.0
2014/2015,Manitoba,data.Crimes against the person,35 to 44 years,data.Total - sex of accused,194.0
2015/2016,Manitoba,data.Crimes against the person,35 to 44 years,data.Total - sex of accused,191.0
2016/2017,Manitoba,data.Crimes against the person,35 to 44 years,data.Total - sex of accused,182.0
2017/2018,Manitoba,data.Crimes against the person,35 to 44 years,data.Total - sex of accused,165.0
2018/2019,Manitoba,data.Crimes against the person,35 to 44 years,data.Total - sex of accused,169.0
2014/2015,Manitoba,data.Crimes against the person,35 to 44 years,Males,
2015/2016,Manitoba,data.Crimes against the person,35 to 44 years,Males,
2016/2017,Manitoba,data.Crimes against the person,35 to 44 years,Males,
2017/2018,Manitoba,data.Crimes against the person,35 to 44 years,Males,
2018/2019,Manitoba,data.Crimes against the person,35 to 44 years,Males,
2014/2015,Manitoba,data.Crimes against the person,35 to 44 years,Females,
2015/2016,Manitoba,data.Crimes against the person,35 to 44 years,Females,
2016/2017,Manitoba,data.Crimes against the person,35 to 44 years,Females,
2017/2018,Manitoba,data.Crimes against the person,35 to 44 years,Females,
2018/2019,Manitoba,data.Crimes against the person,35 to 44 years,Females,
2014/2015,Manitoba,data.Crimes against the person,35 to 44 years,data.Sex unknown,194.0
2015/2016,Manitoba,data.Crimes against the person,35 to 44 years,data.Sex unknown,191.0
2016/2017,Manitoba,data.Crimes against the person,35 to 44 years,data.Sex unknown,182.0
2017/2018,Manitoba,data.Crimes against the person,35 to 44 years,data.Sex unknown,165.0
2018/2019,Manitoba,data.Crimes against the person,35 to 44 years,data.Sex unknown,169.0
2014/2015,Manitoba,data.Crimes against the person,45 to 54 years,data.Total - sex of accused,205.0
2015/2016,Manitoba,data.Crimes against the person,45 to 54 years,data.Total - sex of accused,190.0
2016/2017,Manitoba,data.Crimes against the person,45 to 54 years,data.Total - sex of accused,183.0
2017/2018,Manitoba,data.Crimes against the person,45 to 54 years,data.Total - sex of accused,171.0
2018/2019,Manitoba,data.Crimes against the person,45 to 54 years,data.Total - sex of accused,169.0
2014/2015,Manitoba,data.Crimes against the person,45 to 54 years,Males,
2015/2016,Manitoba,data.Crimes against the person,45 to 54 years,Males,
2016/2017,Manitoba,data.Crimes against the person,45 to 54 years,Males,
2017/2018,Manitoba,data.Crimes against the person,45 to 54 years,Males,
2018/2019,Manitoba,data.Crimes against the person,45 to 54 years,Males,
2014/2015,Manitoba,data.Crimes against the person,45 to 54 years,Females,
2015/2016,Manitoba,data.Crimes against the person,45 to 54 years,Females,
2016/2017,Manitoba,data.Crimes against the person,45 to 54 years,Females,
2017/2018,Manitoba,data.Crimes against the person,45 to 54 years,Females,
2018/2019,Manitoba,data.Crimes against the person,45 to 54 years,Females,
2014/2015,Manitoba,data.Crimes against the person,45 to 54 years,data.Sex unknown,205.0
2015/2016,Manitoba,data.Crimes against the person,45 to 54 years,data.Sex unknown,190.0
2016/2017,Manitoba,data.Crimes against the person,45 to 54 years,data.Sex unknown,183.0
2017/2018,Manitoba,data.Crimes against the person,45 to 54 years,data.Sex unknown,171.0
2018/2019,Manitoba,data.Crimes against the person,45 to 54 years,data.Sex unknown,169.0
2014/2015,Manitoba,data.Crimes against the person,55 years and over,data.Total - sex of accused,191.0
2015/2016,Manitoba,data.Crimes against the person,55 years and over,data.Total - sex of accused,207.0
2016/2017,Manitoba,data.Crimes against the person,55 years and over,data.Total - sex of accused,207.0
2017/2018,Manitoba,data.Crimes against the person,55 years and over,data.Total - sex of accused,194.0
2018/2019,Manitoba,data.Crimes against the person,55 years and over,data.Total - sex of accused,165.0
2014/2015,Manitoba,data.Crimes against the person,55 years and over,Males,
2015/2016,Manitoba,data.Crimes against the person,55 years and over,Males,
2016/2017,Manitoba,data.Crimes against the person,55 years and over,Males,
2017/2018,Manitoba,data.Crimes against the person,55 years and over,Males,
2018/2019,Manitoba,data.Crimes against the person,55 years and over,Males,
2014/2015,Manitoba,data.Crimes against the person,55 years and over,Females,
2015/2016,Manitoba,data.Crimes against the person,55 years and over,Females,
2016/2017,Manitoba,data.Crimes against the person,55 years and over,Females,
2017/2018,Manitoba,data.Crimes against the person,55 years and over,Females,
2018/2019,Manitoba,data.Crimes against the person,55 years and over,Females,
2014/2015,Manitoba,data.Crimes against the person,55 years and over,data.Sex unknown,191.0
2015/2016,Manitoba,data.Crimes against the person,55 years and over,data.Sex unknown,207.0
2016/2017,Manitoba,data.Crimes against the person,55 years and over,data.Sex unknown,207.0
2017/2018,Manitoba,data.Crimes against the person,55 years and over,data.Sex unknown,194.0
2018/2019,Manitoba,data.Crimes against the person,55 years and over,data.Sex unknown,165.0
2014/2015,Manitoba,data.Crimes against property,data.Total - age of accused,data.Total - sex of accused,161.0
2015/2016,Manitoba,data.Crimes against property,data.Total - age of accused,data.Total - sex of accused,157.0
2016/2017,Manitoba,data.Crimes against property,data.Total - age of accused,data.Total - sex of accused,171.0
2017/2018,Manitoba,data.Crimes against property,data.Total - age of accused,data.Total - sex of accused,174.0
2018/2019,Manitoba,data.Crimes against property,data.Total - age of accused,data.Total - sex of accused,160.0
2014/2015,Manitoba,data.Crimes against property,data.Total - age of accused,Males,
2015/2016,Manitoba,data.Crimes against property,data.Total - age of accused,Males,
2016/2017,Manitoba,data.Crimes against property,data.Total - age of accused,Males,
2017/2018,Manitoba,data.Crimes against property,data.Total - age of accused,Males,
2018/2019,Manitoba,data.Crimes against property,data.Total - age of accused,Males,
2014/2015,Manitoba,data.Crimes against property,data.Total - age of accused,Females,
2015/2016,Manitoba,data.Crimes against property,data.Total - age of accused,Females,
2016/2017,Manitoba,data.Crimes against property,data.Total - age of accused,Females,
2017/2018,Manitoba,data.Crimes against property,data.Total - age of accused,Females,
2018/2019,Manitoba,data.Crimes against property,data.Total - age of accused,Females,
2014/2015,Manitoba,data.Crimes against property,data.Total - age of accused,data.Company,365.0
2015/2016,Manitoba,data.Crimes against property,data.Total - age of accused,data.Company,0.0
2016/2017,Manitoba,data.Crimes against property,data.Total - age of accused,data.Company,0.0
2017/2018,Manitoba,data.Crimes against property,data.Total - age of accused,data.Company,0.0
2018/2019,Manitoba,data.Crimes against property,data.Total - age of accused,data.Company,0.0
2014/2015,Manitoba,data.Crimes against property,data.Total - age of accused,data.Sex unknown,161.0
2015/2016,Manitoba,data.Crimes against property,data.Total - age of accused,data.Sex unknown,157.0
2016/2017,Manitoba,data.Crimes against property,data.Total - age of accused,data.Sex unknown,171.0
2017/2018,Manitoba,data.Crimes against property,data.Total - age of accused,data.Sex unknown,174.0
2018/2019,Manitoba,data.Crimes against property,data.Total - age of accused,data.Sex unknown,160.0
2014/2015,Manitoba,data.Crimes against property,data.18 to 24 years,data.Total - sex of accused,175.0
2015/2016,Manitoba,data.Crimes against property,data.18 to 24 years,data.Total - sex of accused,149.0
2016/2017,Manitoba,data.Crimes against property,data.18 to 24 years,data.Total - sex of accused,180.0
2017/2018,Manitoba,data.Crimes against property,data.18 to 24 years,data.Total - sex of accused,185.0
2018/2019,Manitoba,data.Crimes against property,data.18 to 24 years,data.Total - sex of accused,179.0
2014/2015,Manitoba,data.Crimes against property,data.18 to 24 years,Males,
2015/2016,Manitoba,data.Crimes against property,data.18 to 24 years,Males,
2016/2017,Manitoba,data.Crimes against property,data.18 to 24 years,Males,
2017/2018,Manitoba,data.Crimes against property,data.18 to 24 years,Males,
2018/2019,Manitoba,data.Crimes against property,data.18 to 24 years,Males,
2014/2015,Manitoba,data.Crimes against property,data.18 to 24 years,Females,
2015/2016,Manitoba,data.Crimes against property,data.18 to 24 years,Females,
2016/2017,Manitoba,data.Crimes against property,data.18 to 24 years,Females,
2017/2018,Manitoba,data.Crimes against property,data.18 to 24 years,Females,
2018/2019,Manitoba,data.Crimes against property,data.18 to 24 years,Females,
2014/2015,Manitoba,data.Crimes against property,data.18 to 24 years,data.Sex unknown,175.0
2015/2016,Manitoba,data.Crimes against property,data.18 to 24 years,data.Sex unknown,149.0
2016/2017,Manitoba,data.Crimes against property,data.18 to 24 years,data.Sex unknown,180.0
2017/2018,Manitoba,data.Crimes against property,data.18 to 24 years,data.Sex unknown,185.0
2018/2019,Manitoba,data.Crimes against property,data.18 to 24 years,data.Sex unknown,179.0
2014/2015,Manitoba,data.Crimes against property,25 to 34 years,data.Total - sex of accused,145.0
2015/2016,Manitoba,data.Crimes against property,25 to 34 years,data.Total - sex of accused,169.0
2016/2017,Manitoba,data.Crimes against property,25 to 34 years,data.Total - sex of accused,169.0
2017/2018,Manitoba,data.Crimes against property,25 to 34 years,data.Total - sex of accused,170.0
2018/2019,Manitoba,data.Crimes against property,25 to 34 years,data.Total - sex of accused,154.0
2014/2015,Manitoba,data.Crimes against property,25 to 34 years,Males,
2015/2016,Manitoba,data.Crimes against property,25 to 34 years,Males,
2016/2017,Manitoba,data.Crimes against property,25 to 34 years,Males,
2017/2018,Manitoba,data.Crimes against property,25 to 34 years,Males,
2018/2019,Manitoba,data.Crimes against property,25 to 34 years,Males,
2014/2015,Manitoba,data.Crimes against property,25 to 34 years,Females,
2015/2016,Manitoba,data.Crimes against property,25 to 34 years,Females,
2016/2017,Manitoba,data.Crimes against property,25 to 34 years,Females,
2017/2018,Manitoba,data.Crimes against property,25 to 34 years,Females,
2018/2019,Manitoba,data.Crimes against property,25 to 34 years,Females,
2014/2015,Manitoba,data.Crimes against property,25 to 34 years,data.Sex unknown,145.0
2015/2016,Manitoba,data.Crimes against property,25 to 34 years,data.Sex unknown,169.0
2016/2017,Manitoba,data.Crimes against property,25 to 34 years,data.Sex unknown,169.0
2017/2018,Manitoba,data.Crimes against property,25 to 34 years,data.Sex unknown,170.0
2018/2019,Manitoba,data.Crimes against property,25 to 34 years,data.Sex unknown,154.0
2014/2015,Manitoba,data.Crimes against property,35 to 44 years,data.Total - sex of accused,162.0
2015/2016,Manitoba,data.Crimes against property,35 to 44 years,data.Total - sex of accused,156.0
2016/2017,Manitoba,data.Crimes against property,35 to 44 years,data.Total - sex of accused,177.0
2017/2018,Manitoba,data.Crimes against property,35 to 44 years,data.Total - sex of accused,183.0
2018/2019,Manitoba,data.Crimes against property,35 to 44 years,data.Total - sex of accused,157.0
2014/2015,Manitoba,data.Crimes against property,35 to 44 years,Males,
2015/2016,Manitoba,data.Crimes against property,35 to 44 years,Males,
2016/2017,Manitoba,data.Crimes against property,35 to 44 years,Males,
2017/2018,Manitoba,data.Crimes against property,35 to 44 years,Males,
2018/2019,Manitoba,data.Crimes against property,35 to 44 years,Males,
2014/2015,Manitoba,data.Crimes against property,35 to 44 years,Females,
2015/2016,Manitoba,data.Crimes against property,35 to 44 years,Females,
2016/2017,Manitoba,data.Crimes against property,35 to 44 years,Females,
2017/2018,Manitoba,data.Crimes against property,35 to 44 years,Females,
2018/2019,Manitoba,data.Crimes against property,35 to 44 years,Females,
2014/2015,Manitoba,data.Crimes against property,35 to 44 years,data.Sex unknown,162.0
2015/2016,Manitoba,data.Crimes against property,35 to 44 years,data.Sex unknown,156.0
2016/2017,Manitoba,data.Crimes against property,35 to 44 years,data.Sex unknown,177.0
2017/2018,Manitoba,data.Crimes against property,35 to 44 years,data.Sex unknown,183.0
2018/2019,Manitoba,data.Crimes against property,35 to 44 years,data.Sex unknown,157.0
2014/2015,Manitoba,data.Crimes against property,45 to 54 years,data.Total - sex of accused,141.0
2015/2016,Manitoba,data.Crimes against property,45 to 54 years,data.Total - sex of accused,134.0
2016/2017,Manitoba,data.Crimes against property,45 to 54 years,data.Total - sex of accused,135.0
2017/2018,Manitoba,data.Crimes against property,45 to 54 years,data.Total - sex of accused,148.0
2018/2019,Manitoba,data.Crimes against property,45 to 54 years,data.Total - sex of accused,169.0
2014/2015,Manitoba,data.Crimes against property,45 to 54 years,Males,
2015/2016,Manitoba,data.Crimes against property,45 to 54 years,Males,
2016/2017,Manitoba,data.Crimes against property,45 to 54 years,Males,
2017/2018,Manitoba,data.Crimes against property,45 to 54 years,Males,
2018/2019,Manitoba,data.Crimes against property,45 to 54 years,Males,
2014/2015,Manitoba,data.Crimes against property,45 to 54 years,Females,
2015/2016,Manitoba,data.Crimes against property,45 to 54 years,Females,
2016/2017,Manitoba,data.Crimes against property,45 to 54 years,Females,
2017/2018,Manitoba,data.Crimes against property,45 to 54 years,Females,
2018/2019,Manitoba,data.Crimes against property,45 to 54 years,Females,
2014/2015,Manitoba,data.Crimes against property,45 to 54 years,data.Sex unknown,141.0
2015/2016,Manitoba,data.Crimes against property,45 to 54 years,data.Sex unknown,134.0
2016/2017,Manitoba,data.Crimes against property,45 to 54 years,data.Sex unknown,135.0
2017/2018,Manitoba,data.Crimes against property,45 to 54 years,data.Sex unknown,148.0
2018/2019,Manitoba,data.Crimes against property,45 to 54 years,data.Sex unknown,169.0
2014/2015,Manitoba,data.Crimes against property,55 years and over,data.Total - sex of accused,120.0
2015/2016,Manitoba,data.Crimes against property,55 years and over,data.Total - sex of accused,186.0
2016/2017,Manitoba,data.Crimes against property,55 years and over,data.Total - sex of accused,144.0
2017/2018,Manitoba,data.Crimes against property,55 years and over,data.Total - sex of accused,129.0
2018/2019,Manitoba,data.Crimes against property,55 years and over,data.Total - sex of accused,148.0
2014/2015,Manitoba,data.Crimes against property,55 years and over,Males,
2015/2016,Manitoba,data.Crimes against property,55 years and over,Males,
2016/2017,Manitoba,data.Crimes against property,55 years and over,Males,
2017/2018,Manitoba,data.Crimes against property,55 years and over,Males,
2018/2019,Manitoba,data.Crimes against property,55 years and over,Males,
2014/2015,Manitoba,data.Crimes against property,55 years and over,Females,
2015/2016,Manitoba,data.Crimes against property,55 years and over,Females,
2016/2017,Manitoba,data.Crimes against property,55 years and over,Females,
2017/2018,Manitoba,data.Crimes against property,55 years and over,Females,
2018/2019,Manitoba,data.Crimes against property,55 years and over,Females,
2014/2015,Manitoba,data.Crimes against property,55 years and over,data.Sex unknown,120.0
2015/2016,Manitoba,data.Crimes against property,55 years and over,data.Sex unknown,186.0
2016/2017,Manitoba,data.Crimes against property,55 years and over,data.Sex unknown,144.0
2017/2018,Manitoba,data.Crimes against property,55 years and over,data.Sex unknown,129.0
2018/2019,Manitoba,data.Crimes against property,55 years and over,data.Sex unknown,148.0
2014/2015,Manitoba,data.Administration of justice,data.Total - age of accused,data.Total - sex of accused,106.0
2015/2016,Manitoba,data.Administration of justice,data.Total - age of accused,data.Total - sex of accused,104.0
2016/2017,Manitoba,data.Administration of justice,data.Total - age of accused,data.Total - sex of accused,98.0
2017/2018,Manitoba,data.Administration of justice,data.Total - age of accused,data.Total - sex of accused,85.0
2018/2019,Manitoba,data.Administration of justice,data.Total - age of accused,data.Total - sex of accused,85.0
2014/2015,Manitoba,data.Administration of justice,data.Total - age of accused,Males,
2015/2016,Manitoba,data.Administration of justice,data.Total - age of accused,Males,
2016/2017,Manitoba,data.Administration of justice,data.Total - age of accused,Males,
2017/2018,Manitoba,data.Administration of justice,data.Total - age of accused,Males,
2018/2019,Manitoba,data.Administration of justice,data.Total - age of accused,Males,
2014/2015,Manitoba,data.Administration of justice,data.Total - age of accused,Females,
2015/2016,Manitoba,data.Administration of justice,data.Total - age of accused,Females,
2016/2017,Manitoba,data.Administration of justice,data.Total - age of accused,Females,
2017/2018,Manitoba,data.Administration of justice,data.Total - age of accused,Females,
2018/2019,Manitoba,data.Administration of justice,data.Total - age of accused,Females,
2014/2015,Manitoba,data.Administration of justice,data.Total - age of accused,data.Company,0.0
2015/2016,Manitoba,data.Administration of justice,data.Total - age of accused,data.Company,239.0
2016/2017,Manitoba,data.Administration of justice,data.Total - age of accused,data.Company,0.0
2017/2018,Manitoba,data.Administration of justice,data.Total - age of accused,data.Company,0.0
2018/2019,Manitoba,data.Administration of justice,data.Total - age of accused,data.Company,0.0
2014/2015,Manitoba,data.Administration of justice,data.Total - age of accused,data.Sex unknown,106.0
2015/2016,Manitoba,data.Administration of justice,data.Total - age of accused,data.Sex unknown,104.0
2016/2017,Manitoba,data.Administration of justice,data.Total - age of accused,data.Sex unknown,98.0
2017/2018,Manitoba,data.Administration of justice,data.Total - age of accused,data.Sex unknown,85.0
2018/2019,Manitoba,data.Administration of justice,data.Total - age of accused,data.Sex unknown,85.0
2014/2015,Manitoba,data.Administration of justice,data.18 to 24 years,data.Total - sex of accused,105.0
2015/2016,Manitoba,data.Administration of justice,data.18 to 24 years,data.Total - sex of accused,112.0
2016/2017,Manitoba,data.Administration of justice,data.18 to 24 years,data.Total - sex of accused,103.0
2017/2018,Manitoba,data.Administration of justice,data.18 to 24 years,data.Total - sex of accused,90.0
2018/2019,Manitoba,data.Administration of justice,data.18 to 24 years,data.Total - sex of accused,86.0
2014/2015,Manitoba,data.Administration of justice,data.18 to 24 years,Males,
2015/2016,Manitoba,data.Administration of justice,data.18 to 24 years,Males,
2016/2017,Manitoba,data.Administration of justice,data.18 to 24 years,Males,
2017/2018,Manitoba,data.Administration of justice,data.18 to 24 years,Males,
2018/2019,Manitoba,data.Administration of justice,data.18 to 24 years,Males,
2014/2015,Manitoba,data.Administration of justice,data.18 to 24 years,Females,
2015/2016,Manitoba,data.Administration of justice,data.18 to 24 years,Females,
2016/2017,Manitoba,data.Administration of justice,data.18 to 24 years,Females,
2017/2018,Manitoba,data.Administration of justice,data.18 to 24 years,Females,
2018/2019,Manitoba,data.Administration of justice,data.18 to 24 years,Females,
2014/2015,Manitoba,data.Administration of justice,data.18 to 24 years,data.Sex unknown,105.0
2015/2016,Manitoba,data.Administration of justice,data.18 to 24 years,data.Sex unknown,112.0
2016/2017,Manitoba,data.Administration of justice,data.18 to 24 years,data.Sex unknown,103.0
2017/2018,Manitoba,data.Administration of justice,data.18 to 24 years,data.Sex unknown,90.0
2018/2019,Manitoba,data.Administration of justice,data.18 to 24 years,data.Sex unknown,86.0
2014/2015,Manitoba,data.Administration of justice,25 to 34 years,data.Total - sex of accused,100.0
2015/2016,Manitoba,data.Administration of justice,25 to 34 years,data.Total - sex of accused,99.0
2016/2017,Manitoba,data.Administration of justice,25 to 34 years,data.Total - sex of accused,92.0
2017/2018,Manitoba,data.Administration of justice,25 to 34 years,data.Total - sex of accused,78.0
2018/2019,Manitoba,data.Administration of justice,25 to 34 years,data.Total - sex of accused,81.0
2014/2015,Manitoba,data.Administration of justice,25 to 34 years,Males,
2015/2016,Manitoba,data.Administration of justice,25 to 34 years,Males,
2016/2017,Manitoba,data.Administration of justice,25 to 34 years,Males,
2017/2018,Manitoba,data.Administration of justice,25 to 34 years,Males,
2018/2019,Manitoba,data.Administration of justice,25 to 34 years,Males,
2014/2015,Manitoba,data.Administration of justice,25 to 34 years,Females,
2015/2016,Manitoba,data.Administration of justice,25 to 34 years,Females,
2016/2017,Manitoba,data.Administration of justice,25 to 34 years,Females,
2017/2018,Manitoba,data.Administration of justice,25 to 34 years,Females,
2018/2019,Manitoba,data.Administration of justice,25 to 34 years,Females,
2014/2015,Manitoba,data.Administration of justice,25 to 34 years,data.Sex unknown,100.0
2015/2016,Manitoba,data.Administration of justice,25 to 34 years,data.Sex unknown,99.0
2016/2017,Manitoba,data.Administration of justice,25 to 34 years,data.Sex unknown,92.0
2017/2018,Manitoba,data.Administration of justice,25 to 34 years,data.Sex unknown,78.0
2018/2019,Manitoba,data.Administration of justice,25 to 34 years,data.Sex unknown,81.0
2014/2015,Manitoba,data.Administration of justice,35 to 44 years,data.Total - sex of accused,106.0
2015/2016,Manitoba,data.Administration of justice,35 to 44 years,data.Total - sex of accused,105.0
2016/2017,Manitoba,data.Administration of justice,35 to 44 years,data.Total - sex of accused,82.0
2017/2018,Manitoba,data.Administration of justice,35 to 44 years,data.Total - sex of accused,81.0
